Results of Integral using Gaussian Legendre 

                      |  Computed Value  |   Error   |
 L = 1  |   N =  10   |      0.15109     |  0.04167  |
        |   N =  20   |      0.16142     |  0.03135  |
        |   N =  30   |      0.16321     |  0.02955  |
        |   N =  40   |      0.16383     |  0.02894  |
        |   N =  50   |      0.16411     |  0.02865  |
 L = 2  |   N =  10   |      0.12983     |  0.06293  |
        |   N =  20   |      0.17707     |  0.01570  |
        |   N =  30   |      0.18580     |  0.00697  |
        |   N =  40   |      0.18867     |  0.00410  |
        |   N =  50   |      0.18995     |  0.00281  |
 L = 3  |   N =  10   |      0.07198     |  0.12079  |
        |   N =  20   |      0.15614     |  0.03663  |
        |   N =  30   |      0.17728     |  0.01548  |
        |   N =  40   |      0.18442     |  0.00835  |
        |   N =  50   |      0.18756     |  0.00521  |
